mass_Msun,radius_Rsun,radius_km
1.012799643782905878e+00,7.789456096860165012e-03,5.419124606585616675e+03
1.030784027466520980e+00,7.595525933968594844e-03,5.284207392261952009e+03
1.048319820195656504e+00,7.405136214843651213e-03,5.151753264666728683e+03
1.065394541220507030e+00,7.218253387907049359e-03,5.021738881966934059e+03
1.081997794737195706e+00,7.034844034506925262e-03,4.894140994806467461e+03
1.098121208121986658e+00,6.854874818971254911e-03,4.768936411558302098e+03
1.113758359098338202e+00,6.678312446000284064e-03,4.646101968682397455e+03
1.128904693603164811e+00,6.505123625474266806e-03,4.525614506242447533e+03
1.143557436048985076e+00,6.335275043852124643e-03,4.407450848007923014e+03
1.157715493574919874e+00,6.168733338367068768e-03,4.291587783501969170e+03
1.171379355781110521e+00,6.005465079458136880e-03,4.178002055779025795e+03
1.184550991315433510e+00,5.845436754416025171e-03,4.066670350047229022e+03
1.197233742554677738e+00,5.688614754677785365e-03,3.957569284829335174e+03
1.209432219517632578e+00,5.534965366189445284e-03,3.850675405257996772e+03
1.221152194002481206e+00,5.384454761997337947e-03,3.745965177921547820e+03
1.232400494821009440e+00,5.237048994723215480e-03,3.643414985628940940e+03
1.243184904910305644e+00,5.092713992293325213e-03,3.543001124438466377e+03
1.253514060961547605e+00,4.951415553613247936e-03,3.444699800648736527e+03
1.263397356125757653e+00,4.813119344786872915e-03,3.348487128168227628e+03
1.272844846239581607e+00,4.677790895442432255e-03,3.254339125959300418e+03
1.281867159969603653e+00,4.545395595975837942e-03,3.162231716120390502e+03
1.290475413114275494e+00,4.415898694329276931e-03,3.072140721644877885e+03
1.298681127341511310e+00,4.289265293634840839e-03,2.984041864781758704e+03
1.306496153475598554e+00,4.165460348218824604e-03,2.897910764255836057e+03
1.313932599402143353e+00,4.044448661891074034e-03,2.813722934077619811e+03
1.321002762767853111e+00,3.926194884313125369e-03,2.731453781016641187e+03
1.327719068304642036e+00,3.810663509380154534e-03,2.651078603475773434e+03
1.334094009775250278e+00,3.697818871962536749e-03,2.572572589224336753e+03
1.340140096420120219e+00,3.587625146384462813e-03,2.495910814339670651e+03
1.345869804221492716e+00,3.480046344207714509e-03,2.421068241665307141e+03
1.351295531128558158e+00,3.375046314458017820e-03,2.348019720968442925e+03
1.356429556879031884e+00,3.272588743124754760e-03,2.276739988591891688e+03
1.361284006879115216e+00,3.172637152979941068e-03,2.207203667328145002e+03
1.365870819757264210e+00,3.075154906641596950e-03,2.139385268550558976e+03
1.370201718750784226e+00,2.980105208390499989e-03,2.073259193477270856e+03
1.374288186631559716e+00,2.887451107236266388e-03,2.008799735304270371e+03
1.378141443993483151e+00,2.797155503668502692e-03,1.945981083902177261e+03
1.381772430687712827e+00,2.709181154655666054e-03,1.884777329293946877e+03
1.385191790220627217e+00,2.623490681563058619e-03,1.825162467163419933e+03
1.388409856924006425e+00,2.540046580112602717e-03,1.767110405784337900e+03
1.391436645700590891e+00,2.458811229700400176e-03,1.710594972502568453e+03
1.394281844145323523e+00,2.379746905731820565e-03,1.655589922317627725e+03
1.396954806882424682e+00,2.302815793904311372e-03,1.602068947819229379e+03
1.399464551909769483e+00,2.227980003219636428e-03,1.550005688239901019e+03
1.401819758786672088e+00,2.155201583119440573e-03,1.499373741376194857e+03
1.404028768507355585e+00,2.084442541023967532e-03,1.450146675790374275e+03
1.406099584875792230e+00,2.015664859503045036e-03,1.402298042756268387e+03
1.408039877237871940e+00,1.948830516906470455e-03,1.355801390611831494e+03
1.409856984431832716e+00,1.883901507928420786e-03,1.310630279065802370e+03
1.411557919797865823e+00,1.820839864004333451e-03,1.266758293387814774e+03
